Alternative dance,Electroclash
Intelligent dance music,Ambient house
Iranian hip hop,Alternative hip hop
J-pop,Enka
Japanoise,Japanese noise rock
Jazz-funk,Free funk
K-pop,Bubblegum pop
Kenyan hip hop,Genge
Kroncong,Koes Plus
Louisiana blues,New Orleans blues
Mainstream hardcore,Early Hardcore
Mainstream hardcore,Happy hardcore
Mainstream hardcore,Mainstream hardcore
Mainstream hardcore,Power noise
Mainstream hardcore,Speedcore
Mainstream hardcore,Terrorcore
Mambo (music),Cha-cha-cha (music)
Mariachi,Mariachi tradicional
Mariachi,Ranchera
Mashup (music),Glitch (music)
Medieval folk rock,Medieval metal
Merengue music,Merengue t%C3%ADpico
Merengue music,Pambiche
Merengue music,Reggaeton
Mexican pop music,Dance-pop
Miami bass,Audio bass
Miami bass,Bounce music
Minimal music,Drone music
Nederpop,Levenslied
Neo-psychedelia,Baggy
New Age music,Neoclassical (New Age)
New Beat,Hard Beat
New Beat,Schizzo
New Orleans blues,Electric blues
Njuup,Mbalax
No wave,Dance-punk
No wave,Noise rock
No wave,Punk jazz
Noise music,Post-industrial music
Oi!,Punk pathetique
Oldschool jungle,Ragga jungle
Pinoy rock,BisRock
Pop music,Baroque pop
Pop rock,British Invasion
Pop-folk,Balkan pop
Post-disco,Boogie (genre)
Post-hardcore,Emo
Post-hardcore,Screamo
Power pop,Jangle pop
Power pop,Mod revival
Progressive folk music,Psychedelic folk
Progressive rock,Avant-garde progressive rock
Progressive rock,Italian progressive rock
Progressive rock,Krautrock
Progressive rock,Neo-progressive rock
Progressive rock,Progg
Progressive rock,Progressive metal
Progressive rock,Progressive rock
Progressive rock,Space rock
Progressive rock,Symphonic rock
Progressive rock,Zeuhl
Protopunk,Glam punk
Psychedelic rock,Acid rock
Psychedelic rock,Raga rock
Psychedelic rock,Space rock
Psychedelic trance,Psychedelic trance
Punk rock,Anarcho-punk
Punk rock,Art punk
Punk rock,Christian punk
Punk rock,Crust punk
Punk rock,Garage punk
Punk rock,Glam punk
Punk rock,Hardcore punk
Punk rock,Oi!
Punk rock,Riot grrrl
Punk rock,Skate punk
Ra%C3%AF,Bedoui citadinis%C3%A9
Rap rock,Rapcore
Reggae fusion,Japanese reggae
Reggae fusion,Reggae rock
Reggae fusion,Ska punk
Reggae,Lovers rock
Reggae,Reggae en Espa%C3%B1ol
Reggae,Roots reggae
Rhythm and blues,Contemporary R&B
Riot grrrl,Kinderwhore
Rock music,Alternative rock
Rock music,Art rock
Rock music,Baroque pop
Rock music,Beat music
Rock music,Britpop
Rock music,Emo
Rock music,Experimental rock
Rock music,Garage rock
Rock music,Glam rock
Rock music,Gothic rock
Rock music,Grindcore
Rock music,Group Sounds
Rock music,Grunge
Rock music,Hard rock
Rock music,Heartland rock
Rock music,Heavy metal music
Rock music,Indie rock
Rock music,Instrumental rock
Rock music,Jangle pop
Rock music,Krautrock
Rock music,Madchester
Rock music,Post-Britpop
Rock music,Power pop
Rock music,Progressive rock
Rock music,Protopunk
Rock music,Psychedelic rock
Rock music,Punk rock
Rock music,Soft rock
Rock music,Southern rock
Rock music,Surf music
Rock music,Symphonic rock
Roots rock,Country rock
Roots rock,Heartland rock
Roots rock,Roots rock
Roots rock,Southern rock
Salsa music,Salsa rom%C3%A1ntica
Samba,Bossa nova
Samba,Pagode
Samba,Partido alto
Samba,Samba de Gafieira
Samba,Samba de breque
Samba,Samba-can%C3%A7%C3%A3o
Samba,Samba-enredo
Screamo,Screamo
Son montuno,Guaracha
Soukous,Soukous
Soul jazz,Jazz-funk
Soul music,Blue-eyed soul
Southern Gospel,Bluegrass music
Southern Gospel,Christian country music
Southern hip hop,Bounce music
Space rock,Neo-psychedelia
Space rock,Post-rock
Space rock,Shoegazing
Swing music,Swing revival
Symphonic rock,Neo-progressive rock
Tango (music),Nuevo tango
Tango,Ballroom tango
Tango,Finnish tango
Tango,Nuevo tango
Techno,Acid techno
Techno,Intelligent dance music
Techno,Minimal techno
Techno,Tech house
Traditional black gospel,Jubilee quartet
Trance music,Acid trance
Trance music,Balearic trance
Trance music,Dark trance
Trance music,Euro-trance
Trance music,Goa trance
Trance music,Hard trance
Trance music,Psychedelic trance
Trance music,Tech trance
Trance music,Trance music
Trance music,Uplifting trance
Trance music,Vocal trance
Trip hop,Illbient
UK garage,Speed garage
UK hardcore,Freeform Hardcore
UK hardcore,Hardcore breaks
UK hardcore,Mainstream hardcore
Urban contemporary gospel,Christian hip hop
Vallenato,Commercial vallenato
West Coast hip hop,Alternative hip hop
West Coast hip hop,Chicano rap
West Coast hip hop,G-funk
West Coast hip hop,Gangsta rap
West Coast hip hop,Hyphy
West Coast hip hop,Latin hip hop
West Coast hip hop,Underground hip hop
Worldbeat,Afrobeat
