Lhara,Braavos
Lhazareen Woman,Commoner
Little Bird,Lannister
Loboda,Wildlings
Lollys,Stokeworth
Loras,Tyrell
Lord of Bones,Wildlings
Lord Weebly,Commoner
Luke,Commoner
Luthor,Tyrell
Lyanna,Stark
Lynanna,Stark
Lysa,Arryn
Mac,Commoner
Mace,Tyrell
Madame,Commoner
Maggy,Commoner
Magnar,Wildlings
Mago,Dothraki
Mag the Mighty,Wildlings
Malakko,Dothraki
Malko,Commoner
Mance,Wildlings
Manderly,Starks
Mandon,Kingsguard
Manservant,Commoner
Marei,Commoner
Margaery,Tyrell
Marillion,Commoner
Martha,Commoner
Martyn,Lannister
Marwin,Commoner
Marwyn,Commoner
Marya,Seaworth
Masha,Commoner
Master Mighdal,Meereen
Meereen Champion,Meereen
Meereen Slave,Meereen
Meereen Statesman,Meereen
Melara,Lannister
Mero,Braavos
Merry,Frey
Meryn,Kingsguard
Minisa,Tully
Mirri Maz Dur,Dothraki
Mole's Town Madam,Commoner
Mole's Town Whore,Commoner
Morag,Wildlings
Mord,Arryn
Morgan's Friend,Commoner
Mormont Maester,Night's Watch
Mossador,Meereen
Mountain,Lannister
Mully,Night's Watch
Musician,Commoner
Myranda,Bolton
Myrcella,Lannister
Ned Umber,Stark
Nora,Commoner
Nymeria,Direwolf
Obara,Sand
Oberyn,Martell
Olenna,Tyrell
Olly,Commoner
Olly's Mother,Commoner
Olyvar,Commoner
Orell,Wildlings
Orson,Lannister
Orys,Baratheon
Orys's Brother,Baratheon
Othell,Night's Watch
Othor,Night's Watch
Owen,Merryweather
Owner,Commoner
Portan,Stark
Prendahl,Second Sons
Protester,Commoner
Pyatt Pree,Qarth
Pycelle,Lannister
Pyp,Night's Watch
Qhono,Dothraki
Qotho,Dothraki
Quaithe,R'hllor
Quent,Stark
Quick,Commoner
Quorin,Night's Watch
Radzai,Commoner
Ralf,Greyjoy
Ray,Chuch7
Razdal,Yunkai
Red Priest,R'hllor
Reginald,Lannister
Renly,Baratheon
Renly Dwarf,Commoner
Rennick,Lannister
Rhaenyra,Targaryen
Rhaenys,Targaryen
Rickon,Stark
Riverlands Lord,Commoner
Robb,Stark
Robb Dwarf,Commoner
Roose,Bolton
Roose's Son,Bolton
Roslin,Tully
Royce,Bolton
Ryger,Rivers
Rylene,Baratheon
Sally,Commoner
Sandor,Brotherhood
Sarra,Frey
Selwyn,Tarth
Selyse,Baratheon
Septa Mordane,Church7
Septa Unella,Church7
Septon,Church7
Shae,Lannister
Shagga,Lannister
Shepherd,Church7
Shireen,Baratheon
Silk King,Qarth
Sissy,Wildlings
Smalljon,Umber
Sorcerer,Commoner
Spice King,Qarth
Stable Boy,Commoner
Stannis,Baratheon
Stannis Dwarf,Commoner
Steelshanks Walton,Bolton
Steffon,Baratheon
Stevron,Frey
Strong,Baratheon
Strumpet,Commoner
Styr,Wildlings
Syrio Forel,Stark
Talla,Tarly
Tanda,Stokeworth
Tansy,Bolton
Taryn,Commoner
Teela,Commoner
Ternesio Terys,Braavos
Thenn Warg,Wildlings
Thin Man,Braavos
Tickler,Lannister
Timett,Greyjoy
Tobho Mott,Commoner
Tomard,Baratheon
Tommen,Lannister
Tommy,Stark
Torrhen,Stark
Torturer,Commoner
Trystane,Martell
Tycho,Braavos
Tyene,Sand
Tysha,Commoner
Unsullied Captain,Targaryen
Vala,Commoner
Vale Lord,Arryn
Vance Corbray,Arryn
Vardis,Arryn
Varly,Stark
Vicky,Commoner
Viola,Tyrell
Violet,Bolton
Visenya,Targaryen
Viserys,Targaryen
Waif,Braavos
Walda,Bolton
Walder,Frey
Waymar,Night's Watch
Waymar Royce,Night's Watch
Will,Night's Watch
Willa,Wildlings
Willem,Lannister
William,Lannister
Wine Merchant,Commoner
Wun Wun,Wildlings
Xaro,Qarth
Yara,Greyjoy
Yezzan,Yunkai
Ygritte,Wildlings
Yohn Royce,Arryn
Zala,Commoner
Night King,White Walkers
Joffrey,Lannnister
Hot Pie,Commoner
Hodor,Stark
Catelyn,Stark
Missandei,Targaryen
Ned,Stark
Robert,Baratheon
Balerion,Dragon
Joanna,Lannister
Rast,Night's Watch
Yoren,Night's Watch
Karl,Night's Watch
Lyanna Mormont,Mormont
Mhaegen,Commoner
Grey Worm,Targaryen
Balon,Dragon
Kraznys,Astapor
Polliver,Lannister
Tormund,Wildlings
Robin,Arryn
Doreah,Targaryen
Locke,Bolton
Jaime,Lannister
Melisandre,R'hllor
White Walker,White Walkers
Rakharo,Dothraki
Eddison,Night's Watch
Petyr,Baelish
Howland,Reed
Robett,Stark
Talisa,Stark
Bran,Stark
Wolkan,Church7
Mycah,Umber
Rhaegar,Targaryen
Sam,Tarly
Daenerys,Targaryen
Rodrik,Stark
Alliser,Stark
Ramsay,Bolton
Jorah,Mormont
Baelor,Targarien
Luwin,Stark
Biter,Night's Watch
Bowen,Frey
Arya,Stark
Salladhor,Lys
Brienne,Stark
Podrick,Kingsguard
Leaf,Child of the Forest
Matthos,Seaworth
Sansa,Stark
Black Walder,Rivers
Dontos,Baratheon
Cersei,Lannister
Jojen,Child of the Forest
Gilly,Wildlings
Three Eyed Raven,Stark
Bronn,Lannister
Qyburn,Lannister
Benjen,Stark
Drogo,Dothraki
Boros,Lannister
Old Nan,Stark
Aegon,Targaryen
Qhorin,Night's Watch
Brandon,Stark
Brynden,Rivers
Little Sam,Tarly
Irri,Dothraki
Lothar,Frey
Lommy,Night's Watch
Randyll,Tarly
Ilyn,Lannister
Morgan,Brotherhood
Craster,Night's Watch
Osha,Wildlings
Thoros,Brotherhood
Ros,Commoners
Rhaego,Targaryen
Tywin,Lannister
Dareon,Night's Watch
Varys,Lannister
Rickard Karstark,Stark
Tyrion,Lannister
Jon Arryn,Arryn
Joyeuse,Frey
Theon,Greyjoy
Rickard Stark,Stark
Davos,Seaworth
Jon,Snow
Aerys,Targaryen
Hoster,Tully
Rorge,Night's Watch
Meera,Reed
Melessa,Tarly
Syrio,Stark
Yohn,Arryn
